img,output,flag,username,timestamp
E:\NEW SCD\flagged\img\331f45e5b14a12c69215ffaf301a006c262edb05\tmpk1_sw1us,E:\NEW SCD\flagged\output\tmpzx7d0zkc.json,,,2023-09-22 11:48:22.811202
E:\NEW SCD\flagged\img\3bf8c3ec15cdb1ab448089c2c0558e30bd79ee16\tmp6oq9_o56.jpg,E:\NEW SCD\flagged\output\tmphe9bwk46.json,,,2023-10-13 13:20:04.102563
